epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,23232.7,1.59064,1.57535,1.42782,0.60585,0.51799,0.55049,0.28456,1.62041,1.50774,1.47933,0.001981,0.001981,0.001981
83,23413.6,1.59193,1.5803,1.43096,0.60592,0.52062,0.55159,0.2853,1.62028,1.50641,1.4791,0.001882,0.001882,0.001882
84,23595.5,1.58328,1.56782,1.42715,0.60741,0.52113,0.55229,0.28562,1.62039,1.50499,1.4788,0.001783,0.001783,0.001783
85,23776.3,1.57897,1.55393,1.41817,0.60792,0.52134,0.55325,0.28626,1.62016,1.50369,1.47842,0.001684,0.001684,0.001684
86,23957.4,1.57943,1.55746,1.41898,0.60946,0.51995,0.55378,0.28653,1.62017,1.50233,1.47808,0.001585,0.001585,0.001585
87,24131.7,1.57251,1.5518,1.41613,0.60985,0.52001,0.55388,0.28696,1.62035,1.50107,1.47772,0.001486,0.001486,0.001486
88,24304.3,1.57141,1.53843,1.41408,0.61146,0.52001,0.5542,0.28708,1.62021,1.49986,1.47726,0.001387,0.001387,0.001387
89,24476.6,1.56438,1.52712,1.41344,0.61071,0.52129,0.55473,0.28732,1.6199,1.49847,1.47678,0.001288,0.001288,0.001288
90,24648.6,1.56159,1.53573,1.40884,0.61211,0.52095,0.55543,0.28755,1.62014,1.49699,1.47659,0.001189,0.001189,0.001189
91,24828.8,1.55693,1.43966,1.44253,0.61147,0.52232,0.55574,0.28797,1.61994,1.4955,1.47616,0.00109,0.00109,0.00109
92,24999.3,1.54361,1.42118,1.43225,0.614,0.52206,0.55599,0.28848,1.62026,1.49366,1.47602,0.000991,0.000991,0.000991
93,25170.8,1.53772,1.41298,1.42971,0.61415,0.523,0.55677,0.28881,1.62028,1.49184,1.47563,0.000892,0.000892,0.000892
94,25343.9,1.53674,1.39523,1.42764,0.61374,0.52314,0.55735,0.28905,1.62021,1.4897,1.47521,0.000793,0.000793,0.000793
95,25519.5,1.53318,1.39177,1.42589,0.6176,0.52151,0.55787,0.2893,1.62069,1.4879,1.47513,0.000694,0.000694,0.000694
96,25695,1.53051,1.38784,1.42128,0.61821,0.52119,0.55846,0.28951,1.62072,1.4867,1.47459,0.000595,0.000595,0.000595
97,25870.4,1.52185,1.37206,1.41496,0.61944,0.52012,0.55862,0.29014,1.62099,1.48543,1.47408,0.000496,0.000496,0.000496
98,26046.9,1.51748,1.36891,1.41449,0.62212,0.51932,0.55929,0.29036,1.62106,1.48396,1.47372,0.000397,0.000397,0.000397
99,26225,1.51184,1.35732,1.41333,0.62309,0.51997,0.56005,0.29079,1.62178,1.48206,1.47372,0.000298,0.000298,0.000298
100,26401.5,1.51129,1.35091,1.41291,0.62349,0.52101,0.56063,0.29089,1.62206,1.48074,1.47369,0.000199,0.000199,0.000199
